FPS,JOD_15degps_predictable,JOD_30degps_predictable,JOD_45degps_predictable,JOD_15degps_ET_target,JOD_23degps_unpredictable,JOD_30degps_panorama
50,0,0,0,0,0,0
55,0.807971810702875,0.92962867344681,0.902656737798541,0.508854018374874,0.370987913868977,0.296390966160611
60,1.64876245887385,1.69437424661968,0.989443840791477,1.50138303465539,0.760830719946925,1.17401735085849
65,1.68428538662194,1.91924145578375,1.76216383065724,1.77437539529028,1.22414282769223,1.20872254422462
70,2.10169643234049,1.96603985941346,1.74398056996856,1.92103317596845,1.40023451298744,1.59013061534682
75,2.099104283666,1.99013049202291,2.25392149053044,2.10435620433422,1.74659174848656,1.47395977908401
80,3.03133740221091,1.53689420245386,3.02667545220159,2.77753040249109,1.33622492831643,1.87342112189715
85,2.51155246796127,1.71258416318305,2.49811888058457,2.32347742904596,1.61464543548126,2.49421678549186
90,3.4158598323852,1.85736519037734,2.81674871575943,3.15410787139206,2.03500441948012,3.01795086177973
95,3.25327582710631,1.93113579436835,3.14956016058663,3.32532598804106,2.33705283588322,2.17714030345397
100,3.45011624096526,2.4296809023366,3.39404602170982,3.45366617799961,2.71938312226368,2.77711984717243
105,3.87904174549014,2.6744382678519,3.31072675931288,3.14585555356925,2.39610941130871,3.09742471565345
110,3.88233913971022,2.96376994464445,3.21139269532149,4.01163292113,2.36164072785012,3.79542735984252
115,3.79364480969974,3.14513130930581,3.03840266959848,3.39084772123388,2.1010372357813,3.80411262010772
120,3.824695000274,3.00650718310097,3.06475977044796,3.64946751313488,2.44454323010114,3.29324249028858
125,4.37914611575001,3.19382963974367,2.8787155950877,3.73960801924412,1.97599528939804,3.52817310935204
130,3.9471315253545,3.71544102138288,3.09894004842979,3.95914243452187,2.21695308145581,3.7566665052838
135,4.20508335427409,3.52569351823799,2.63175993471823,4.07869635554293,2.21267761751329,3.13107487123065
140,3.70875322681552,3.69269510526166,2.83198703008269,4.08556734201205,2.7685046449699,3.3895616538368
145,4.41080952389523,3.87389501780749,2.98245110987573,5.0195935562407,2.89463943296726,3.96897684722194
150,4.41299131974714,3.96095082512436,3.337976893506,4.3097125454808,2.73325863210647,3.65188042515817
155,4.35508352292145,4.11529379487098,4.02740118027064,5.19152448449203,2.41461087827184,3.60441481544866
160,4.67753705791532,4.31552978871417,3.87303667393881,4.83821385524899,2.99399135747223,4.03434080430328
165,5.05093339159003,4.2982511866526,4.31083018451515,4.40922211164697,2.43672785617435,3.59817104714755
